BJD - 2454833, Corrected Flux
1977.262457691, 1.003319561,
1977.282889957, 1.002932943,
1977.303322123, 1.002789286,
1977.364619018, 1.002918045,
1977.385051282, 1.002882099,
1977.405483546, 1.002817233,
1977.425915809, 1.002755205,
1977.446348171, 1.003079954,
1977.466780334, 1.003039611,
1977.487212695, 1.002896502,
1977.507644956, 1.002667354,
1977.528077117, 1.002707032,
1977.548509478, 1.002718778,
1977.568941737, 1.002452871,
1977.589373896, 1.002405622,
1977.609806255, 1.002411592,
1977.630238514, 1.002761117,
1977.650670672, 1.002716317,
1977.671103029, 1.002694188,
1977.691535286, 1.002591436,
1977.711967443, 1.002613534,
1977.732399798, 1.002522675,
1977.752832054, 1.002712566,
1977.773264209, 1.002697290,
1977.793696564, 1.002586310,
1977.814128818, 1.002489190,
1977.834561071, 1.003036856,
1977.854993325, 1.003062333,
1977.875425577, 1.003094042,
1977.895857829, 1.002719522,
1977.916290081, 1.002754614,
1977.936722333, 1.002852429,
1977.957154684, 1.002648681,
1977.977586834, 1.002466687,
1977.998019084, 1.002441825,
1978.018451433, 1.002375925,
1978.038883582, 1.002066728,
1978.059315831, 1.002242288,
1978.079748179, 1.002764392,
1978.100180326, 1.002726942,
1978.120612573, 1.002612615,
1978.141044920, 1.002438356,
1978.161477066, 1.002556251,
1978.181909312, 1.002712935,
1978.202341657, 1.002482353,
1978.222773802, 1.002178743,
1978.243206146, 1.002326591,
1978.263638390, 1.002524336,
1978.284070633, 1.002674987,
1978.304502876, 1.002440685,
1978.324935118, 1.002266653,
1978.345367361, 1.002436304,
1978.365799602, 1.002481961,
1978.386231843, 1.002219667,
1978.427096324, 1.002343042,
1978.447528563, 1.002271816,
1978.488393041, 1.002555229,
1978.508825279, 1.002519009,
1978.529257417, 1.001640397,
1978.590554128, 1.002484216,
1978.610986464, 1.002263424,
1978.631418699, 1.002272669,
1978.651851034, 1.002396198,
1978.672283169, 1.002294362,
1978.692715403, 1.002068365,
1978.713147736, 1.002022215,
1978.733579869, 1.001887388,
1978.754012102, 1.001966069,
1978.774444434, 1.001988707,
1978.794876666, 1.001815914,
1978.815308797, 1.001760772,
1978.835741128, 1.002115783,
1978.856173358, 1.002375692,
1978.876605488, 1.002379386,
1978.917470047, 1.001700892,
1978.937902175, 1.002299835,
1978.958334503, 1.002631962,
1978.978766731, 1.002366183,
1978.999198858, 1.002140862,
1979.019631185, 1.002379995,
1979.060495536, 1.002690958,
1979.080927862, 1.002708545,
1979.101360087, 1.002637334,
1979.121792411, 1.002555405,
1979.142224535, 1.002467481,
1979.162656758, 1.002698555,
1979.183088981, 1.002491961,
1979.203521204, 1.001806548,
1979.223953426, 1.001686243,
1979.244385647, 1.002034138,
1979.264817868, 1.002024054,
1979.285250089, 1.001949871,
1979.326114529, 1.002098372,
1979.346546749, 1.002467541,
1979.366979067, 1.002160493,
1979.387411186, 1.001970898,
1979.407843404, 1.002082200,
1979.428275721, 1.002111687,
1979.448707838, 1.002440000,
1979.469140055, 1.002243550,
1979.489572371, 1.002350593,
1979.510004487, 1.002518727,
1979.530436702, 1.002561132,
1979.550869017, 1.002382842,
1979.571301131, 1.002109170,
1979.591733444, 1.002350211,
1979.612165658, 1.002763466,
1979.632597871, 1.002500358,
1979.653030083, 1.002314397,
1979.673462295, 1.002449360,
1979.693894507, 1.002647299,
1979.714326718, 1.002590650,
1979.734758928, 1.002543955,
1979.775623348, 1.001951854,
1979.796055558, 1.001963989,
1979.816487767, 1.002097831,
1979.836920075, 1.002056239,
1979.857352183, 1.001802550,
1979.877784390, 1.001779350,
1979.898216597, 1.001915290,
1979.918648804, 1.002003409,
1979.939081010, 1.002132928,
1979.959513216, 1.002075517,
1979.979945421, 1.002222762,
1980.000377625, 1.002084485,
1980.020809830, 1.002189292,
1980.041242034, 1.002127008,
1980.061674337, 1.002340292,
1980.082106440, 1.002566208,
1980.102538642, 1.002332330,
1980.122970944, 1.002149213,
1980.143403046, 1.002090490,
1980.163835247, 1.002170031,
1980.184267548, 1.002300440,
1980.204699748, 1.002186360,
1980.225131848, 1.002222111,
1980.245564147, 1.002448662,
1980.265996346, 1.002462809,
1980.286428444, 1.002181136,
1980.306860742, 1.001978155,
1980.327292940, 1.002014488,
1980.347725037, 1.002097783,
1980.368157334, 1.002115149,
1980.388589530, 1.001956865,
1980.409021625, 1.001891072,
1980.429453921, 1.002361312,
1980.449886115, 1.002438906,
1980.470318310, 1.002111058,
1980.490750504, 1.001640271,
1980.511182697, 1.001729152,
1980.531614990, 1.002049517,
1980.552047083, 1.002358303,
1980.572479275, 1.002179406,
1980.592911567, 1.002060691,
1980.613343658, 1.002333211,
1980.633775848, 1.002526725,
1980.654208139, 1.002557836,
1980.674640229, 1.002479690,
1980.695072418, 1.002079807,
1980.715504707, 1.001907192,
1980.735936796, 1.002063129,
1980.756368984, 1.002311938,
1980.776801271, 1.002259117,
1980.797233358, 1.002098643,
