################################################################
# K2GAP DR1                             
# Stello et al. 2017, ApJ, 835, 83
# Frequency            Power density                                                   
# MicroHertz           Parts per million squared per microHertz
################################################################
2.8909070E-02          6.4276428E+03
5.7818140E-02          6.2724126E+03
8.6727210E-02          5.9197094E+03
1.1563628E-01          5.1344413E+03
1.4454535E-01          3.4873914E+03
1.7345442E-01          1.3401791E+03
2.0236349E-01          5.2050837E+02
2.3127256E-01          9.9463671E+02
2.6018163E-01          1.4564230E+03
2.8909070E-01          1.4705387E+03
3.1799977E-01          1.3080433E+03
3.4690884E-01          1.3575723E+03
3.7581791E-01          1.9595598E+03
4.0472698E-01          3.6447649E+03
4.3363605E-01          7.2407326E+03
4.6254512E-01          1.2659324E+04
4.9145419E-01          1.7183482E+04
5.2036326E-01          1.8190722E+04
5.4927233E-01          1.5673272E+04
5.7818140E-01          1.0846992E+04
6.0709047E-01          5.5587746E+03
6.3599954E-01          1.8892590E+03
6.6490861E-01          3.9840484E+02
6.9381768E-01          7.1000635E+01
7.2272675E-01          7.5603219E+01
7.5163582E-01          2.8543552E+02
7.8054489E-01          6.9365909E+02
8.0945396E-01          9.7268556E+02
8.3836303E-01          8.9520531E+02
8.6727210E-01          6.9144677E+02
8.9618117E-01          8.3798711E+02
9.2509024E-01          1.4796347E+03
9.5399931E-01          1.9644100E+03
9.8290838E-01          1.5733835E+03
1.0118174E+00          6.5809137E+02
1.0407265E+00          3.4469793E+02
1.0696356E+00          1.3557756E+03
1.0985447E+00          3.1911366E+03
1.1274537E+00          4.2441957E+03
1.1563628E+00          3.4810629E+03
1.1852719E+00          1.7129887E+03
1.2141809E+00          5.7741984E+02
1.2430900E+00          1.2052479E+03
1.2719991E+00          3.4306534E+03
1.3009081E+00          5.8242352E+03
1.3298172E+00          6.9610421E+03
1.3587263E+00          6.2607534E+03
1.3876354E+00          4.2001574E+03
1.4165444E+00          1.9905618E+03
1.4454535E+00          7.5543947E+02
1.4743626E+00          1.2166456E+03
1.5032716E+00          3.4744415E+03
1.5321807E+00          6.8085621E+03
1.5610898E+00          9.7953278E+03
1.5899988E+00          1.0808346E+04
1.6189079E+00          9.2980095E+03
1.6478170E+00          6.0776744E+03
1.6767261E+00          2.5873747E+03
1.7056351E+00          3.8742683E+02
1.7345442E+00          1.2309293E+02
1.7634533E+00          9.4796254E+02
1.7923623E+00          1.4892555E+03
1.8212714E+00          1.0746053E+03
1.8501805E+00          2.7816535E+02
1.8790895E+00          1.9599779E+02
1.9079986E+00          1.1587903E+03
1.9369077E+00          2.3908055E+03
1.9658168E+00          2.8249012E+03
1.9947258E+00          2.2547523E+03
2.0236349E+00          1.6394433E+03
2.0525440E+00          2.1126300E+03
2.0814530E+00          3.6477303E+03
2.1103621E+00          5.0746585E+03
2.1392712E+00          5.4038494E+03
2.1681802E+00          4.5903363E+03
2.1970893E+00          3.3625018E+03
2.2259984E+00          2.6262049E+03
2.2549075E+00          2.6902545E+03
2.2838165E+00          3.0563491E+03
2.3127256E+00          3.0433937E+03
2.3416347E+00          2.4281891E+03
2.3705437E+00          1.5052827E+03
2.3994528E+00          9.6302522E+02
2.4283619E+00          1.5352436E+03
2.4572709E+00          3.2800607E+03
2.4861800E+00          5.4122337E+03
2.5150891E+00          6.7202744E+03
2.5439982E+00          6.2865960E+03
2.5729072E+00          4.4281652E+03
2.6018163E+00          2.5025905E+03
2.6307254E+00          1.5884271E+03
2.6596344E+00          1.7480115E+03
2.6885435E+00          2.3495273E+03
2.7174526E+00          2.8922705E+03
